method,relevance_target,k,precision_at_k,recall_at_k,relevant_found,total_relevant
risk_score,actual_is_malicious,100,0.98,2.455233944962173e-05,98,3991473
risk_score,actual_is_malicious,500,0.968,0.00012125849279200937,484,3991473
risk_score,actual_is_malicious,1000,0.984,0.0002465255308002835,984,3991473
risk_score,actual_is_malicious,5000,0.9968,0.0012486618348664766,4984,3991473
risk_score,actual_is_malicious,10000,0.9982,0.002500831146797185,9982,3991473
risk_score,actual_is_high_severity,100,0.83,0.0001465672363952936,83,566293
risk_score,actual_is_high_severity,500,0.898,0.0007928757727889979,449,566293
risk_score,actual_is_high_severity,1000,0.947,0.0016722791911607596,947,566293
risk_score,actual_is_high_severity,5000,0.989,0.00873222872258707,4945,566293
risk_score,actual_is_high_severity,10000,0.9939,0.017550985090756904,9939,566293
probability_only,actual_is_malicious,100,1.0,2.5053407601654826e-05,100,3991473
probability_only,actual_is_malicious,500,1.0,0.00012526703800827413,500,3991473
probability_only,actual_is_malicious,1000,1.0,0.00025053407601654826,1000,3991473
probability_only,actual_is_malicious,5000,1.0,0.0012526703800827413,5000,3991473
probability_only,actual_is_malicious,10000,1.0,0.0025053407601654826,10000,3991473
probability_only,actual_is_high_severity,100,0.05,8.829351590077928e-06,5,566293
probability_only,actual_is_high_severity,500,0.046,4.061501731435847e-05,23,566293
probability_only,actual_is_high_severity,1000,0.043,7.593242367467018e-05,43,566293
probability_only,actual_is_high_severity,5000,0.048,0.00042380887632374053,240,566293
probability_only,actual_is_high_severity,10000,0.0506,0.0008935303809158863,506,566293
severity_only,actual_is_malicious,100,0.95,2.3800737221572088e-05,95,3991473
severity_only,actual_is_malicious,500,0.972,0.00012175956094404246,486,3991473
severity_only,actual_is_malicious,1000,0.972,0.00024351912188808492,972,3991473
severity_only,actual_is_malicious,5000,0.9674,0.001211833325692044,4837,3991473
severity_only,actual_is_malicious,10000,0.9655,0.0024189065039397738,9655,3991473
severity_only,actual_is_high_severity,100,0.91,0.0001606941989394183,91,566293
severity_only,actual_is_high_severity,500,0.934,0.0008246614385132785,467,566293
severity_only,actual_is_high_severity,1000,0.935,0.0016510887473445725,935,566293
severity_only,actual_is_high_severity,5000,0.9328,0.008236019163224691,4664,566293
severity_only,actual_is_high_severity,10000,0.9306,0.01643318917945304,9306,566293
fifo,actual_is_malicious,100,0.92,2.3049134993522443e-05,92,3991473
fifo,actual_is_malicious,500,0.942,0.00011800154980379423,471,3991473
fifo,actual_is_malicious,1000,0.943,0.00023625363368360504,943,3991473
fifo,actual_is_malicious,5000,0.9502,0.0011902873951546208,4751,3991473
fifo,actual_is_malicious,10000,0.9489,0.0023773178473210266,9489,3991473
fifo,actual_is_high_severity,100,0.13,2.2956314134202613e-05,13,566293
fifo,actual_is_high_severity,500,0.124,0.00010948395971696631,62,566293
fifo,actual_is_high_severity,1000,0.139,0.0002454559742041664,139,566293
fifo,actual_is_high_severity,5000,0.1374,0.0012131529084767074,687,566293
fifo,actual_is_high_severity,10000,0.132,0.002330948819780573,1320,566293
