method,relevance_target,k,precision_at_k,recall_at_k,relevant_found,total_relevant
risk_score,actual_is_malicious,100,1.0,2.5053407601654826e-05,100,3991473
risk_score,actual_is_malicious,500,0.998,0.0001250165039322576,499,3991473
risk_score,actual_is_malicious,1000,0.999,0.00025028354194053175,999,3991473
risk_score,actual_is_malicious,5000,0.9998,0.0012524198460067248,4999,3991473
risk_score,actual_is_malicious,10000,0.9996,0.0025043386238614166,9996,3991473
risk_score,actual_is_high_severity,100,1.0,0.0010586827868765683,100,94457
risk_score,actual_is_high_severity,500,0.98,0.005187545655695184,490,94457
risk_score,actual_is_high_severity,1000,0.99,0.010480959590078024,990,94457
risk_score,actual_is_high_severity,5000,0.9976,0.052807097409403224,4988,94457
risk_score,actual_is_high_severity,10000,0.9981,0.10566712895815027,9981,94457
probability_only,actual_is_malicious,100,1.0,2.5053407601654826e-05,100,3991473
probability_only,actual_is_malicious,500,1.0,0.00012526703800827413,500,3991473
probability_only,actual_is_malicious,1000,1.0,0.00025053407601654826,1000,3991473
probability_only,actual_is_malicious,5000,1.0,0.0012526703800827413,5000,3991473
probability_only,actual_is_malicious,10000,1.0,0.0025053407601654826,10000,3991473
probability_only,actual_is_high_severity,100,0.0,0.0,0,94457
probability_only,actual_is_high_severity,500,0.002,1.0586827868765682e-05,1,94457
probability_only,actual_is_high_severity,1000,0.001,1.0586827868765682e-05,1,94457
probability_only,actual_is_high_severity,5000,0.0002,1.0586827868765682e-05,1,94457
probability_only,actual_is_high_severity,10000,0.0005,5.2934139343828405e-05,5,94457
severity_only,actual_is_malicious,100,0.98,2.455233944962173e-05,98,3991473
severity_only,actual_is_malicious,500,0.968,0.00012125849279200937,484,3991473
severity_only,actual_is_malicious,1000,0.96,0.00024051271297588636,960,3991473
severity_only,actual_is_malicious,5000,0.9638,0.0012073237123237462,4819,3991473
severity_only,actual_is_malicious,10000,0.964,0.0024151484927995254,9640,3991473
severity_only,actual_is_high_severity,100,0.89,0.0009422276803201457,89,94457
severity_only,actual_is_high_severity,500,0.884,0.0046793779179944315,442,94457
severity_only,actual_is_high_severity,1000,0.901,0.00953873190975788,901,94457
severity_only,actual_is_high_severity,5000,0.919,0.048646474056978306,4595,94457
severity_only,actual_is_high_severity,10000,0.9224,0.09765290026149465,9224,94457
fifo,actual_is_malicious,100,0.92,2.3049134993522443e-05,92,3991473
fifo,actual_is_malicious,500,0.942,0.00011800154980379423,471,3991473
fifo,actual_is_malicious,1000,0.943,0.00023625363368360504,943,3991473
fifo,actual_is_malicious,5000,0.9502,0.0011902873951546208,4751,3991473
fifo,actual_is_malicious,10000,0.9489,0.0023773178473210266,9489,3991473
fifo,actual_is_high_severity,100,0.03,3.1760483606297045e-05,3,94457
fifo,actual_is_high_severity,500,0.024,0.00012704193442518818,12,94457
fifo,actual_is_high_severity,1000,0.027,0.0002858443524566734,27,94457
fifo,actual_is_high_severity,5000,0.0264,0.00139746127867707,132,94457
fifo,actual_is_high_severity,10000,0.0239,0.002530251860634998,239,94457
